Category,Sub-category,Query,Result ,Issue,Identifier,After Tweaking,,
bags,bags,bag,good,,,No change,,
bags,bags,Fendi handbag,good,,,mix of results,,
bags,bags,Fendi beige handbag,ok,2 results slightly off - check solr,,mix of results,,
bags,bags,backpacks,"BAD
","Results include fanny packs, because of title and client ontology. ",,No change,,
bags,bags,black backpacks,"BAD
","Results include fanny packs, because of title and client ontology. ",,No change,,
bags,bags,blue bucket bag,"BAD
No results",bucket bag should be aded to phrase dictionary,M,"BAD, mix of results",,
bags,bags,bucketbag,ok,Many bad results due to wrong tags,WT,first page results are okay,,
bags,bags,crocodile print bag,"BAD
No results","No pattern tag for bags
Description has a lot of relevant information",D,No change,,
bags,bags,animal print bag,"BAD
No results","No pattern tag for bags
Description has a lot of relevant information",D,No change,,
bags,bags,tote bag,"BAD
No results",tag exists as totes,T,"GOOD
1 wrong result in 1st page.",,
bags,bags,totes,"BAD
No results",tag exists as totes,T,"GOOD
1 wrong result in 1st page.",,
bags,bags,FURLA pochette,,"Present on website, but not in the catalogue ",,,,
bags,bags,red CELINE crossbody ,good,,,"Okay
1 tan result listed",,
bags,bags,Coach work bag,good,find synoyms for work bags,,no change,,
bags,bags,pink coccinelle bum bag,"BAD
","Results include backpacks, because of title and client ontology. ",,no change,,
bags,bags,belt bag,"BAD
no result",add synonym,M,no change,,
bags,bags,Burberry duffel bag,good,,,no change,,
bags,bags,faux leather wallet,"BAD
No results",faux leather data present in description,D,no change,,
bags,bags,pale pink wallet,good,,,no change,,
dresses,,Floral print midi dress,"BAD
no result",floral midi dress gives results,M,no change,,
dresses,,red sheath dress,good,,,no change,,
dresses,,little black dress,,title not found,,no change,,
dresses,,yellow short sleeve mini dress,good,1 bad result cuz of wrong tags,WT,no change,,
dresses,,burgundy crewneck dress,good,,,no change,,
dresses,,crew neck dress,"BAD
",J.Crew dresses shown,M,no change,,
dresses,,Off Shoulder Dress,OK,wrong neckline tags,WT,BAD 9 wrong tags,,
dresses,,A line dress,"BAD
no result",no results,T,no change,,
dresses,,animal print dress,good,,,2 wrong results,,
dresses,,leopard print dress,"BAD
no result",,O,no change,,
dresses,,lace dress,OK,,,no change,,
dresses,,shirt dress,"BAD
no result",,Y,no change,,
dresses,, striped knee length dress,OK,,,no change,,
dresses,,full sleeve dress,good,,,OK 3 wrong tags. has the ordering changed?,,
dresses,,shift sack dress,good,"shift dress, shiftsack dress needs to be added",,no change,,
dresses,,maison margiela long dress,good,maxi doesnt work,,"2 bad results, knee length, 3/4th ",,
dresses,,polka dot mini dress,good,1 wrong length tag,WT,no change,,
dresses,,needle & thread black dress,"BAD
",mix of categories from needle & thread,O,no change,,
dresses,,flared dress,good,,,OK some wrong tags,,
dresses,, DRESS,good,,,no change,,
dresses,,red off shoulder midi dress,good,,,OK 2 wong tags,,
dresses,,alberta ferreti dress,good,,,no result,,
dresses,,black maxi dress,"BAD
no results",maxi doesnt work,M,OK 4 wrong tags,,
dresses,,Bodycon dress,,not sure of tag exists,,no change,,
dresses,,Alice Mccall midi dress,good,,,"OK , some wrong tags",,
dresses,,strapless dress,"BAD
no results",tag exists,T,"BAD, many wrong tags",,
dresses,,yellow dress,good,,,no change,,
dresses,,reem acra maxi dress,"BAD
no results",,M,good,,
dresses,,Halterneck Dress,,not sure of tag exists,Y,no change,,
dresses,,a line v neck dress,"BAD
no results",,T,no change,,
