	Query
0	bag
1	Fendi handbag
2	Fendi beige handbag
3	backpacks
4	black backpacks
5	blue bucket bag
6	bucketbag
7	crocodile print bag
8	animal print bag
9	tote bag
10	totes
11	FURLA pochette
12	red CELINE crossbody 
13	Coach work bag
14	pink coccinelle bum bag
15	belt bag
16	Burberry duffel bag
17	faux leather wallet
18	pale pink wallet
19	Floral print midi dress
20	red sheath dress
21	little black dress
22	yellow short sleeve mini dress
23	burgundy crewneck dress
24	crew neck dress
25	Off Shoulder Dress
26	A line dress
27	animal print dress
28	leopard print dress
29	lace dress
30	shirt dress
31	 striped knee length dress
32	full sleeve dress
33	shift sack dress
34	maison margiela long dress
35	polka dot mini dress
36	needle & thread black dress
37	flared dress
38	 DRESS
39	red off shoulder midi dress
40	alberta ferreti dress
41	black maxi dress
42	Bodycon dress
43	Alice Mccall midi dress
44	strapless dress
45	yellow dress
46	reem acra maxi dress
47	Halterneck Dress
48	a line v neck dress
49	alexander mcqueen midi dress
50	Denim dress
51	military green jacket
52	TOMMY HILFIGER blue jacket
53	armani leather jacket
54	one shoulder jumpsuit
55	black High-rise skinny jeans
56	black skinny jeans
57	distressed ankle length jeans
58	light wash wide leg jeans
59	bootcut jeans
60	distressed denim shorts
61	khaki shorts
62	denim mini skirts
63	printed  jumpsuits
64	red one shoulder jumpsuit
65	short sleeve playsuit
66	romper
67	polka dot blouse
68	Brandon Maxwell Blouse
69	black full sleeve blouse
70	short sleeve bodysuit
71	diesel bodysuit
72	full sleeve crop top
73	NORMA KAMALI bralette
74	checked shirt
75	brunello cucinelli shirt
76	white T-shirt 
77	Tshirt
78	white graphic print tshirt
79	MOSCHINO white graphic tshirt
80	scoop neck T-shirt
81	printed camisole
82	black ribbed tank
83	off shoulder printed  top 
84	Gucci sweatshirt
85	long sleeve green blouse
86	polo shirt
87	halter neck top
88	MARNI tube top
89	yellow DIOR sweater
90	VALENTINO sweater
91	maison margiela beige argyle jumper
92	white full sleeve cardigan
93	full sleeve silk blouse
94	crepe blouse
95	turtle neck sweater
96	turtleneck sweater
97	cashmere sweater
98	one shoulder sweater
99	printed skinny jeans
100	FRAME dark wash jeans
101	straight leg jeans
102	 black jeans
103	cargo pants
104	printed palazzo pants
105	grey checked wide leg pants
106	givenchy leather pants
107	brown slim fit trousers
108	floral print leggings
109	striped pants
110	blue straight leg pants
111	checked mini skirt
112	ISABEL MARANT Skirt
113	printed yellow skirt
114	checked midi skirt
115	sequinned skirt
116	Bottega Venetta leather skirt
117	solid black maxi skirt
118	retro printed flared skirt
119	pencil skirt
120	Balmain shorts
121	balenciaga white shorts
122	knee length shorts
123	Miguelina Shorts
124	printed shorts
125	solid black shorts
126	bomber jackets
127	vegan leather jacket
128	leather biker jacket
129	quilted down jacket
130	MONCLER jacket
131	red blazer
132	printed blazer
133	armani black blazer
134	silk kimono
135	balmain tan jacket
136	PU Coats
137	animal print coat
138	faux fur coats
139	phillip lim overcoat
140	hooded coat
141	Theory light grey coat
142	nike black leggings
143	Blue sports bra
144	norma kamali bikini bottom
145	onepiece swimsuit
146	moschino swimsuit
147	Bandeau bikini top
148	green  bikini top
149	one shoulder bikini top
150	animal print bikini bottoms
151	swim briefs
152	red bikini bottoms
153	coverups
154	Beach dresses
155	bracelet
156	tory burch bracelet
157	rose gold cuff bracelet
158	gold cuff bracelet
159	hoop earrings
160	silver ear cuff
161	diamond earrings
162	maison margiela silver earrings
163	stud earrings
164	lanvin Necklace
165	gold and pearl choker
166	blue necklace
167	just cavalli gold necklace 
168	sterling silver necklace
169	CHLOE ring
170	 gold ring
171	Gucci watch
172	versace silver watch
173	Anklet
174	titlee brooch
175	sleeveless bodysuit
176	strapless bra
177	calvin klein white bra
178	purple lace bra
179	Calvin Klein briefs
180	red gstring
181	BlueBella briefs
182	La perla hotpants
183	tommy hilfiger black slip
184	Carine Gilson bustier
185	 stockings
186	 Paul Smith socks
187	stella mcartney vest
188	pajama top
189	prada sleepwear 
190	pajama pants
191	pajama set
192	robe
193	nightdress
194	sleeveless nightdress
195	pink sleeveless undershirt
196	 leather belt
197	GUCCI belt
198	brown belt
199	ISABEL MARANT belts
200	black gloves
201	leather gloves
202	hat
203	beanie
204	fedora
205	bucket hats
206	straw hat
207	cap
208	cat eye sunglasses
209	Prada  sunglasses
210	aviators
211	round frame sunglasses
212	floral print scarf
213	knitted scarf
214	Chloe wallet
215	Valentino pouch
216	givenchy pumps
217	nude sandals
218	gold sandals
219	fuschia mules
220	brown stilleto
221	brown boots
222	suede over the knee boots
223	Gianvito Rossi boots
224	peep toe heels
225	black ankle length boots
226	Jimmy Choo flats
227	blue loafers
228	espadrille wedges
229	open toe flat sandals
230	BALENCIAGA sneakers
231	BALENCIAGA blue sneakers
232	black hightop sneakers
233	wedge sandals
234	red heels
235	combat boots
236	Aquazzura high heels
237	Aquazzura stiletto
238	open toe stilleto
239	CULT GAIA sandals
240	pink  pumps
241	
242	
243	
244	
245	men BALENCIAGA denim shirt
246	men BALENCIAGA checked shirt
247	men BALENCIAGA red shirt
248	men ETRO green polo shirt
249	men ETRO polo shirt
250	men solid blue tshirt
251	men VERSUS VERSACE graphic print tshirt
252	men OFF WHITE blue full sleeve tshirt
253	men MARNI solid red sweatshirt
254	men LANVIN black hooded sweatshirt
255	men beige jumper
256	men MISSONI colourblock jumper
257	men PRADA Black sleeveless sweater
258	men DIOR HOMME yellow striped turtleneck sweater
259	men graphic printed cardigan
260	men Dolce & Gabbana green cardigan
261	men polka dot dress pants
262	
263	
264	
265	
266	
267	
268	
269	
270	
271	
272	
273	ottoman
274	round ottoman
275	faux leather round ottoman
276	
277	sculpture
278	buddha sculpture
279	red buddha sculpture
280	
281	sofa set
282	3 piece sofa set
283	Abbyson 3 piece sofa set
284	
285	sofa
286	tufted sofa
287	Jennifer Taylor tufted sofa
288	Jennifer Taylor tufted camelback sofa 
289	Jennifer Taylor tufted camelback sofa cream
290	
291	dining table
292	Armen Living dining table
293	rustic oak Armen Living dining table
294	
295	sofa chair
296	mid century sofa chair
297	mid century blue sofa chair
